_raw,_time,eventtype,host,humidity,index,linecount,punct,source,sourcetype,splunk_server,splunk_server_group
"{""humidity"": 0.00}",2025-01-24T15:23:49.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:48.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:46.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:45.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:43.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:42.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:40.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:39.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:37.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:36.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:34.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:33.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:31.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:30.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:28.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:27.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:26.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:24.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:23.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:21.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:20.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:18.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:17.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:15.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:13.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:11.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:10.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:08.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:07.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:05.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:04.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:02.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:01.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:59.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:58.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:57.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:55.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:54.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:22:52.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
